piso,code,name,unit,price,quantity,category
"Piso EMA","PA-1005","ESPANCIONADORES GRANDE (8 mm)",UNO,"350",23,"PIEZAS DE AUTO",
"Piso EMA","PA-1007","CALSO GOMA DE V8",UNO,"10000",8,"PIEZAS DE AUTO",
"Piso EMA","PA-1010","MANGUERA  FRENO MOTO",UNO,"1800",41,"PIEZAS DE AUTO",
"Piso EMA","PA-1011","ENCENDEDOR CIGARRO",UNO,"4000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1012","FILTRO YUNDAY DIESEL",UNO,"6000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1013","FILTRO GASOLINA LADA",UNO,"2500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1014","FILTRO AIRE LADA",UNO,"4000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1016","CHAPALETA CUADRADA",UNO,"1200",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1017","CHAPALETA REDONDA",PAR,"2000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1020","TUBERIA FRENO",PAR,"15000",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1021","ALFOMBRA DE AUTO SILICONA",UNO,"9000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1022","PRESILLA CARBURADOR",UNO,"400",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1023","REPRODUCTORA AUTO",UNO,"24000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1024","RELAY 100AP 12V",UNO,"1300",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1025","RESPUESTO FOCO DELANTERO MOSK",PAR,"7000",4,"PIEZAS DE AUTO",
"Piso EMA","PA-1026","REPUESTO TRASERO FOCO AUTO LADA",PAR,"7000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1027","BOMBA ELEC LADA",UNO,"10000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1028","PIÑON GN",UNO,"1500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1029","BORNE DE BATERIA",UNO,"4000",19,"FERRETERIA",
"Piso EMA","PA-1030","ALTERNADOR YUNDAY",UNO,"45000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1031","CORREA LADA",UNO,"2800",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1034","FOCO LATERAL AUTO LADA",PAR,"3500",7,"PIEZAS DE AUTO",
"Piso EMA","PA-1054","BOMBA DE FRENO YUNDAY",UNO,"49000",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1079","NEBLINERO CUADRADO",UNO,"3500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1099","TAPA RADIADOR AUTOS MODERNOS",UNO,"3000",19,"PIEZAS DE AUTO",
"Piso EMA","PA-1235","CAMARA 16 X 325",UNO,"3500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1286","AMPERIMETRO",UNO,"7500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1288","JUEGO CARBON YUNDAY",UNO,"4500",4,"PIEZAS DE AUTO",
"Piso EMA","PA-1289","JUEGO INTERMITENTE V8",UNO,"7500",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1293","JUNKILLO LADA",m,"3500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1294","KIT MANGUERA LADA Y MOSK (AGUA)",PAR,"15000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1295","KOMANDO KAMA",UNO,"18000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1297","MOTOR LIMPIA PARABRISA LADA",UNO,"14000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1299","MANGUERA DE PRESION YUNDAY",UNO,"6000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1300","MACHETE ELECTRICO",UNO,"7500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1301","MANGUERA IDROWAA",UNO,"3500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1302","MESULA DE LADA",UNO,"8000",8,"PIEZAS DE AUTO",
"Piso EMA","PA-1303","MANGUERA AGUA RAYADOR LADA",UNO,"5500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1304","MANGUERA RADIADOR DE AGUA CRIOLLA",UNO,"6000",6,"PIEZAS DE AUTO",
"Piso EMA","PA-1306","MANGUERA DE FRENO WUA",UNO,"4000",10,"PIEZAS DE AUTO",
"Piso EMA","PA-1307","MANGUERA DE FRENO LADA",UNO,"3900",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1308","MANILLA PUERTA LADA JGO 4 UNIDADES",UNO,"8000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1311","MANILLA PUERTA DE MOSK",PAR,"35000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1312","MOTOR ARRANQUE MOSK",UNO,"65000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1313","MANGUERA GANDA RADIADOR",UNO,"6000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1314","PASTILLA DE FRENO MOSKOVICH",PAR,"9000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1315","PATIN CORTO LADA",UNO,"3500",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1316","PATIN LARGO LADA",UNO,"3000",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1317","AMORTIGUADOR LADA",UNO,"39000",5,"PIEZAS DE AUTO",
"Piso EMA","PA-1318","PULMON TEMPERATURA LADA",UNO,"2500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1319","PANTALLA H4",UNO,"30000",6,"PIEZAS DE AUTO",
"Piso EMA","PA-1321","PANTALLA TRASERA LADA 1600",PAR,"20000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1322","PANTALLA LED",UNO,"17500",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1323","PANTALLA TRASERA MOSK",PAR,"20000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1324","PANTALLA  WAZ",PAR,"14000",4,"PIEZAS DE AUTO",
"Piso EMA","PA-1325","PASTILLA DE FRENO LADA",PAR,"8000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1329","PULMON TEMPERATURA MOSK",UNO,"2500",6,"PIEZAS DE AUTO",
"Piso EMA","PA-1331","PANTALLA DELANTERA YUN",PAR,"27000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1332","PULMON MARCHA ATRÁS",UNO,"2500",5,"PIEZAS DE AUTO",
"Piso EMA","PA-1333","NEBLINEROS GRANDES AUTO",UNO,"15000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1334","PILOTO",UNO,"1000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1336","PLATO OPRESOR LADA",UNO,"38000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1337","SISTEMA LIMPIA PARABRISA LADA",UNO,"28000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1340","CILINDRO CAMIONETA CHINA",PAR,"12000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1342","TAPON BOMBETA DIESEL",UNO,"3000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1343","TAPA DELCO LADA",UNO,"5500",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1346","TURBINA AGUA 1 PULGADA",UNO,"20000",1,"ELECTROS",
"Piso EMA","PA-1349","TECLAS PIZARRA",UNO,"2500",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1350","TERMOSTATO YUNDAY",UNO,"8000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1351","TERMINAL DIRECCION CARRO AMER",UNO,"8800",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1355","REPARACION PINZA MOSK",UNO,"17000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1356","REPARACION TERMINAL MOSK",PAR,"21000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1357","RODAMIENTO LADA ROYETE CHICO",UNO,"3500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1358","RELOJ TEMPERATURA DIGITAL",UNO,"7500",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1359","RELOJ TEMPERATURA LADA",UNO,"7500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1361","REPARACION CENTRO DELANTERO LADA",UNO,"16000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1362","ROTON LADA",UNO,"3500",5,"PIEZAS DE AUTO",
"Piso EMA","PA-1364","ROTON MOSKOVICH",UNO,"3500",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1366","RODAMIENTO CHIQUITO MOSK",UNO,"3500",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1367","RODAMIENTO MOSCOVICH GRANDE",UNO,"3500",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1368","RADIADOR CLARIA",UNO,"100000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1369","RADIADOR LADA",UNO,"60000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1370","RELOJ PRESION DE ACEITE",UNO,"7500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1372","REPARACION SINFIN MOSK",UNO,"7000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1373","RELOJ YUND",UNO,"7500",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1378","LAMPARA DE SALON DE LADA 2107",UNO,"3000",8,"PIEZAS DE AUTO",
"Piso EMA","PA-1388","BRAZO LIMPIA PARABRISA MOSK",PAR,"11000",2,"PIEZAS DE AUTO",
"Piso EMA","FF-1390","CARETA NO POLARIZADA",UNO,"8000",1,"FERRETERIA",
"Piso EMA","PA-1391","COMANDO LUCES LADA",UNO,"15000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1392","CARBON LADA",UNO,"3500",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1393","CRUCETA WUAZ",UNO,"20400",4,"PIEZAS DE AUTO",
"Piso EMA","PA-1395","COLLARIN LADA",UNO,"9000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1398","CAJA FUSILE LADA",UNO,"4500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1399","CAJA FUSIBLE MOSK (MEXICO)",UNO,"3500",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1400","DISCO CLOCH LADA",UNO,"8000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1401","ELECTROVALBULA ARRANQUE ARRQ",UNO,"21000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1405","ESPEJO  LADA",PAR,"14000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1409","APOYA BRAZO DE LADA",UNO,"15000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1410","BOMBETA PETROLEO  YUNDAY SIMPLE",UNO,"11000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1411","BOMBA GASOLINA",UNO,"20400",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1413","BOTON STOP FRENO LADA",UNO,"3500",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1414","PIZARRA 3 RELOJES",UNO,"17000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1415","BOMBA FRENO MOSK C-TODO",UNO,"1",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1416","BOMBA AGUA MOSK",UNO,"13000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1418","BOMBA AGUA LADA",UNO,"20400",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1419","CAJA ELECT DELCO",UNO,"6000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1420","CRUCETA LADA",UNO,"6500",4,"PIEZAS DE AUTO",
"Piso EMA","PA-1422","CALSO MOTOR YUNDAY",PAR,"12000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1424","BOMBETA DIESEL COMPLETA",UNO,"22800",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1425","SELLO 35 X 45",UNO,"1300",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1427","CORREA YUNDAY",UNO,"3000",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1428","CRUCETA 28 YUNDAY",UNO,"1",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1432","CALSO 100 MILL KM LADA",UNO,"14000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1433","CALSO BARRA CLARIA",UNO,"24000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1434","CRUCETA MOSK 28MM",UNO,"12000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1436","CRUCETA CLARIA 29MM",UNO,"15000",5,"PIEZAS DE AUTO",
"Piso EMA","PA-1437","CULEBRILLA LADA",UNO,"5500",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1438","CULEBRILLA MOSK",UNO,"5500",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1439","CABLE EMERGENCIA LADA",UNO,"21000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1440","CABLE EMERGENCIA MOSK",UNO,"8000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1441","CALSO MOTOR LADA CRIOLLO",PAR,"9000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1442","CENTRALITA",UNO,"10000",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1443","SELLO TURBINA LADA",UNO,"1700",49,"PIEZAS DE AUTO",
"Piso EMA","PA-1444","CARBON MOSK",UNO,"4000",7,"PIEZAS DE AUTO",
"Piso EMA","PA-1446","ELECTROVENTILADOR",UNO,"30000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1448","FILTRO ACEITE LADA",UNO,"7000",22,"PIEZAS DE AUTO",
"Piso EMA","PA-1449","FILTRO GASOLINA AZUL",UNO,"1300",10,"PIEZAS DE AUTO",
"Piso EMA","PA-1450","FILTRO ACEITE YUNDAY",UNO,"6000",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1451","FILTRO ACEITE YILI",UNO,"3500",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1453","FOCO GUARDAFANGO YUN",PAR,"7500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1454","TUBO DE ESCAPE FLEXIBLE",UNO,"15000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1455","FOCO LADA 1600 TRASERO",PAR,"30000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1458","FOCO INTERMITENTE LADA",PAR,"7500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1459","GATO HIDRAULICO TIJERA",UNO,"20100",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1460","GOMA SELECT CAMBIO LADA",UNO,"3500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1461","INTERRUPTOR DE PIE",UNO,"2500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1463","MOTOR DE ARRANQUE DE CLARIA",UNO,"117000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1464","MOTOR DE ARRANQUE LADA",UNO,"65000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1466","INTERRUPTOR MOTOR ARRANQUE LADA",UNO,"10000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1468","INTERRUPTOR ESTACIONAMIENTO",UNO,"2500",4,"PIEZAS DE AUTO",
"Piso EMA","PA-1469","JUNKILLO(BARREDOR)",UNO,"21000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1470","JUNTA DE LADA MALETERO",UNO,"12000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1472","JUNTA PARABRISA MOSK",UNO,"12000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1473","JUEGO DE JUNTA BLOQ YUNDAY",UNO,"54000",13,"PIEZAS DE AUTO",
"Piso EMA","PA-1475","KIT DE JUNTAS DE MOTOR LADA",UNO,"10000",7,"PIEZAS DE AUTO",
"Piso EMA","PA-1489","LLAVIN PUERTA MOSK",UNO,"7000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1491","LLAVIN PUERTA LADA",UNO,"7000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1519","CALSO MOTOR MOSK",PAR,"12000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1597","JUNTA FINA PARA AUTOS",UNO,"5000",4,"PIEZAS DE AUTO",
"Piso EMA","PA-1598","JUNTA GRUEZA PARA AUTOS",UNO,"10000",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1603","REPARACION SINFÍN LADA",UNO,"16000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1605","TANQUE LIQUIDO CLOCHE Y FRENO",UNO,"4000",7,"PIEZAS DE AUTO",
"Piso EMA","PA-1607","PORTA CHAPA AUTO",UNO,"12000",8,"PIEZAS DE AUTO",
"Piso EMA","PA-1608","VENTANILLAS ELECTRICAS",PAR,"55000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1609","JUNTA DE BLOCK YUNCHAY",UNO,"30000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1610","DISCO DE CLOCHE CLARIA 21 DIENTE",UNO,"46000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1613","TERMOSTATO LADA",UNO,"13000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1619","PIZARRA DIGITAL TEMPERATURA",UNO,"10500",5,"PIEZAS DE AUTO",
"Piso EMA","PA-1629","FORRO TIMON AUTO",UNO,"9000",5,"PIEZAS DE AUTO",
"Piso EMA","PA-1631","JUEGO DE BUJES DE CANGREJO DE PARRILLA LADA",UNO,"12000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1632","SINFÍN CORTO DE LADA",UNO,"80000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1633","VELETAS DE LADA",UNO,"5000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1634","REPARACION BOMBA DE AGUA DE LADA",UNO,"9000",5,"PIEZAS DE AUTO",
"Piso EMA","PA-1636","JUNTA DE BLOCK YUNDAY",UNO,"30000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1640","ALFONBRA DE GOMA PARA AUTO",UNO,"9000",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1641","REPARACION CAJA 5TA LADA",UNO,"46200",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1643","BOMBA ESCLAVA DE LADA",UNO,"14250",6,"PIEZAS DE AUTO",
"Piso EMA","PA-1644","BOMBA CLOCHE DE LADA",UNO,"17100",4,"PIEZAS DE AUTO",
"Piso EMA","PA-1645","DELCO ELECTRONICO MOSK",UNO,"45000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1646","DELCO ELECTRONICO LADA",UNO,"50000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1647","ESCOBILLAS SILICONA",UNO,"1750",96,"PIEZAS DE AUTO",
"Piso EMA","PA-1648","PALANCA EMERGENCIA KAMA",UNO,"16000",6,"PIEZAS DE AUTO",
"Piso EMA","PA-1651","NEBLINERO LARGO",UNO,"3500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1652","FILTROS DE GASOLINA METAL",UNO,"3000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1656","SELLOS 60/85/10",UNO,"1500",4,"PIEZAS DE AUTO",
"Piso EMA","PA-1658","MEZULAS DE MOSKOVICH JUEGO DE 4 UNID",UNO,"65000",8,"PIEZAS DE AUTO",
"Piso EMA","PA-1659","TERMINAL LARGA LADA",UNO,"6500",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1660","TERMINAL CORTA LADA",UNO,"6000",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1662","TURBINA AGUA DEL PARABRISAS",UNO,"3500",8,"PIEZAS DE AUTO",
"Piso EMA","PA-1664","TAPA DELCO MOSKOVICH",UNO,"4500",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1670","PURIFICADOR DE AIRE (FORRO METALICO)",UNO,"20000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1701","KIT JUNTA DE MOTOR MOSK",UNO,"10000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1706","ESCOBILLAS CARRO MODERNO",UNO,"2500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1707","ESCOBILLAS DE LADA",UNO,"5500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1708","BRAZOS Y ESCOBILLAS DE LADA (JUEGO)",UNO,"9000",8,"PIEZAS DE AUTO",
"Piso EMA","PA-1711","PASTILLAS DE FRENO DE CLARIA (JUEGO)",UNO,"18000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1712","BANDAS DE FRENO LADA",UNO,"20000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1713","ROLLETES DE KAMA",UNO,"5000",7,"PIEZAS DE AUTO",
"Piso EMA","PA-1714","TE DIRECCION DE LADA",UNO,"3500",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1718","GOMA DE FOCO DELANTERO DE LADA",UNO,"3500",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1720","JUNTA DE BLOCK MOSK",UNO,"5500",13,"PIEZAS DE AUTO",
"Piso EMA","PA-1721","CRUCETA 27 Y 28 MM",UNO,"12000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1725","TAPA DE TANQUE DE LADA",UNO,"5500",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1726","CANGREJOS DE DIRECCION DE LADA",UNO,"1500",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1727","CIERRE O LLAVIN DE ALECO",UNO,"3500",7,"PIEZAS DE AUTO",
"Piso EMA","PA-1731","ENGANCHE MECANICO TRAILER",UNO,"49000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1732","ENGANCHE ELECTRICO TRAILER",UNO,"9000",4,"PIEZAS DE AUTO",
"Piso EMA","PA-1736","CALSO PARA MOTOR CAMIONES",UNO,"30000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1737","BARRA CORTA DE LADA",UNO,"15000",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1738","BARRA CARDAN LADA",UNO,"100000",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1739","FORRO DE PISO DE LADA",UNO,"53400",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1740","MANGUERA RADIADOR CAMION",UNO,"9000",5,"PIEZAS DE AUTO",
"Piso EMA","PA-1741","CABLE BUJIA DE LADA",UNO,"7000",8,"PIEZAS DE AUTO",
"Piso EMA","PA-1744","CONSOLA DE LADA",UNO,"12000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1759","JUAGO DE SELLO MOSK",UNO,"3000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1762","TANQUE EXPANSION DE LADA",UNO,"10000",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1769","PASTA PISTON",UNO,"3500",0,"PIEZAS DE AUTO",
"Piso EMA","PA-1770","MANILLA INTERIOR YEELI",UNO,"23000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1771","MANILLA EXTERIOR YEELY",UNO,"230000",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1772","CHUCHO ROJO 10 AMP",UNO,"100",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1773","FUSILERA MOSK",UNO,"3500",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1775","POLEADOR DE LADA",UNO,"6500",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1776","JUEGO DE FOCOS INTERMITENTES V8",UNO,"4500",2,"PIEZAS DE AUTO",
"Piso EMA","PA-1779","ASIENTOS DE LADA",UNO,"168000",1,"PIEZAS DE AUTO",
"Piso EMA","PB-1276","EJE BICICLETA",UNO,"900",0,"PIEZAS DE BICICLETA",
"Piso EMA","PB-1277","GOMA BICICLETA 26",UNO,"4500",0,"PIEZAS DE BICICLETA",
"Piso EMA","PB-1280","CHICHARRA",UNO,"2500",0,"PIEZAS DE BICICLETA",
"Piso EMA","PB-1281","MANILLA BICICLETA",PAR,"1500",0,"PIEZAS DE BICICLETA",
"Piso EMA","PB-1282","MASA",UNO,"4800",0,"PIEZAS DE BICICLETA",
"Piso EMA","PB-1283","SILLIN",UNO,"5000",0,"PIEZAS DE BICICLETA",
"Piso EMA","PB-1284","CADENA BICICLETA",UNO,"2000",0,"PIEZAS DE BICICLETA",
"Piso EMA","PB-1397","CAMARA 28 BICICLETA",UNO,"2200",0,"PIEZAS DE BICICLETA",
"Piso EMA","PB-1655","PUÑOS DE BICICLETA",UNO,"1000",3,"PIEZAS DE BICICLETA",
"Piso EMA","PB-1716","TACOS DE FRENO DE BICICLETA",UNO,"600",9,"PIEZAS DE BICICLETA",
"Piso EMA","PB-1760","CENTRO TRACERO BICICLETA",UNO,"4800",0,"PIEZAS DE BICICLETA",
"Piso EMA","PE-1478","BOTAS DE AGUA DE HOMBRE",PAR,"3500",0,"ARTICULOS DE LLUVIA Y SOL",
"Piso EMA","PE-1616","CAPAS  DE MOTO",UNO,"10500",5,"ARTICULOS DE LLUVIA Y SOL",
"Piso EMA","PM-1009","STOP DELANTERO MOTO",UNO,"700",65,"PIEZAS DE MOTO",
"Piso EMA","PM-1019","TENSOR CADENA MOTO",UNO,"1500",8,"PIEZAS DE MOTO",
"Piso EMA","PM-1035","AMORTIGUADOR MOTO",PAR,"20400",2,"PIEZAS DE MOTO",
"Piso EMA","PM-1038","CACHIMBA DE BUJIA",UNO,"700",9,"PIEZAS DE MOTO",
"Piso EMA","PM-1039","SELLO GN",UNO,"3500",6,"PIEZAS DE MOTO",
"Piso EMA","PM-1040","SELLO AX-100",UNO,"3500",4,"NEUMATICOS MOTO",
"Piso EMA","PM-1041","ESPEJO MOTORINA",PAR,"6000",0,"PIEZAS DE MOTO",
"Piso EMA","PM-1043","ESPEJO PANORAMICO",UNO,"12000",0,"PIEZAS DE MOTO",
"Piso EMA","PM-1045","SPROKE AX-100",UNO,"5500",4,"PIEZAS DE MOTO",
"Piso EMA","PM-1047","RAYOS DELANTEROS DE MOTO",UNO,"200",20,"PIEZAS DE MOTO",
"Piso EMA","PM-1048","RAYOS TRASEROS DE MOTO",UNO,"200",0,"PIEZAS DE MOTO",
"Piso EMA","PM-1049","CADENA MOTOR",UNO,"6800",3,"PIEZAS DE MOTO",
"Piso EMA","PM-1051","ESPEJO MOTOR",PAR,"5440",4,"PIEZAS DE MOTO",
"Piso EMA","PM-1052","FOCO TRASERO MOTOR",UNO,"6000",0,"PIEZAS DE MOTO",
"Piso EMA","PM-1053","FILTRO MOTOR GASOLINA",UNO,"350",6,"PIEZAS DE MOTO",
"Piso EMA","PM-1056","BANDA DE FRENO DE JAWA",UNO,"6000",1,"PIEZAS DE MOTO",
"Piso EMA","PM-1057","FOCO STOP FRENO AUTO (LUZ DE CHAPA)",UNO,"7000",0,"PIEZAS DE MOTO",
"Piso EMA","PM-1058","FOCO TRASERO MOTO LIFAN",UNO,"7500",0,"PIEZAS DE MOTO",
"Piso EMA","PM-1059","FIBRA GN",UNO,"3500",0,"PIEZAS DE MOTO",
"Piso EMA","PM-1060","FIBRA MINSK",UNO,"3000",1,"PIEZAS DE MOTO",
"Piso EMA","PM-1061","FIBRA JAWA",UNO,"5000",2,"PIEZAS DE MOTO",
"Piso EMA","PM-1063","LLAVE GASOLINA MOTO",UNO,"3500",5,"PIEZAS DE MOTO",
"Piso EMA","PM-1064","PULMON ELECTRO",UNO,"3500",4,"PIEZAS DE MOTO",
"Piso EMA","PM-1065","JUEGO FOLLER AX-100",PAR,"4000",1,"PIEZAS DE MOTO",
"Piso EMA","PM-1066","MALLA ASIENTO",UNO,"4000",0,"PIEZAS DE MOTO",
"Piso EMA","PM-1067","BANDA DE FRENO  AX-100",UNO,"3500",0,"PIEZAS DE MOTO",
"Piso EMA","PM-1068","MANILLA MOTOR C/ BOMBA",UNO,"4800",9,"PIEZAS DE MOTO",
