piso,code,name,unit,price,quantity,category
"Piso EMA","ED-1279","OLLAS FRIJOLERAS",UNO,"27000",0,"ELECTROS",
"Piso EMA","ED-1586","INVERSOR 72 VOLT",UNO,"63000",0,"ELECTROS",
"Piso EMA","ED-1587","INVERSOR 2200 W",UNO,"72000",3,"ELECTROS",
"Piso EMA","ED-1588","CARGADOR 10 A 12 VOLT",UNO,"30000",1,"ELECTROS",
"Piso EMA","ED-1589","CARGADOR 20 A",UNO,"67000",2,"ELECTROS",
"Piso EMA","ED-1590","COMPRESOR DE AIRE 12 VOLT",UNO,"18000",2,"ELECTROS",
"Piso EMA","ED-1594","MPPT SOLAR 50 A",UNO,"21000",0,"ELECTROS",
"Piso EMA","ED-1601","TRANSFER AUTOMATICO",UNO,"44800",3,"ELECTROS",
"Piso EMA","ED-1617","EQUIPO DE SOLDAR ELECTRICO",UNO,"126000",1,"ELECTROS",
"Piso EMA","ED-1621","REPRODUCTORA CON BOCINA",UNO,"55000",0,"ELECTROS",
"Piso EMA","ED-1628","GPS DIGITAL",UNO,"25000",2,"ELECTROS",
"Piso EMA","ED-1630","CARGADOR MOVIL CON BLUETOOTH",UNO,"6500",1,"ELECTROS",
"Piso EMA","ED-1651","BOCINAS PIONERS 750W",UNO,"38400",1,"ELECTROS",
"Piso EMA","ED-1666","VENTILADOR MILEXUS",UNO,"15000",33,"ELECTROS",
"Piso EMA","ED-1667","VENTILADOR RECARGABLE",UNO,"38400",70,"ELECTROS",
"Piso EMA","ED-1739","HIDROLAVADORA",UNO,"89500",2,"ELECTROS",
"Piso EMA","ED-1786","BOMBA AUTOCEBANTE",UNO,"32000",0,"ELECTROS",
"Piso EMA","ED-1787","TALADRO ELECTRICO",UNO,"19000",0,"ELECTROS",
"Piso EMA","ET-1763","MOTORINA 3 RUEDAS",UNO,"675000",0,"EQUIPOS DE TRANSPORTE",
"Piso EMA","FF-1001","BUJIA ESTRELLA ROJA",UNO,"2500",27,"FERRETERIA",
"Piso EMA","FF-1036","LATAS DE OLOR",UNO,"2500",22,"FERRETERIA",
"Piso EMA","FF-1044","SOPORTE TELEFONO",UNO,"3500",4,"FERRETERIA",
"Piso EMA","FF-1062","HERRAJE BAÑO",UNO,"3500",0,"FERRETERIA",
"Piso EMA","FF-1088","ESPANCIONADOR  DE BRONCE 8 mm",UNO,"350",0,"FERRETERIA",
"Piso EMA","FF-1109","ARANDELA DE PRESION PEQUEÑA",UNO,"15",549,"FERRETERIA",
"Piso EMA","FF-1110","ARANDELA DE PRESION GRANDE",UNO,"20",0,"FERRETERIA",
"Piso EMA","FF-1114","CATAO 60 AMP",UNO,"3500",0,"FERRETERIA",
"Piso EMA","FF-1117","CAPACITOR 400 MICRO",UNO,"4200",1,"FERRETERIA",
"Piso EMA","FF-1118","DUCHA SANIT",UNO,"1500",0,"FERRETERIA",
"Piso EMA","FF-1119","BRACHA 4pg",UNO,"950",0,"FERRETERIA",
"Piso EMA","FF-1123","BREAKER  NEGRO DOBLE 40 AP",UNO,"2500",0,"FERRETERIA",
"Piso EMA","FF-1124","BREAKER  63 AP SENCILLO",UNO,"1500",0,"FERRETERIA",
"Piso EMA","FF-1125","BREAKER 40A SIMPLE",UNO,"1600",3,"FERRETERIA",
"Piso EMA","FF-1126","BOMBILLA RECARGABLE",UNO,"2500",0,"FERRETERIA",
"Piso EMA","FF-1127","CEPLLO ALAMBRE",UNO,"900",0,"FERRETERIA",
"Piso EMA","FF-1128","BARRENAS TUGSTENO",UNO,"400",0,"FERRETERIA",
"Piso EMA","FF-1129","CANDADO GRANDE",UNO,"1600",6,"FERRETERIA",
